episode,reward,portfolio_value,loss
0,-0.14684981642019432,39827.5631623654,0.0016450118950606153
1,-0.14631787525385023,39478.93206992494,0.0015514596463097924
2,-0.1585758403260733,39366.84736180471,0.0015781018597148691
3,-0.19728339342661944,37796.21812858156,0.0013704601166994377
4,-0.152456808494627,39514.33529817153,0.00139320858735508
5,-0.08337055111178573,42269.87055160085,0.0013999100285998014
6,-0.27961907289655846,34664.870160356484,0.0014388463070125518
7,-0.14180564242435095,39833.68347556471,0.0015486959491681773
8,-0.0959013763984976,41810.21128887443,0.0014651363141768212
9,-0.18227697617555572,38172.958814987614,0.0016423879138268863
10,-0.10017521803606669,41608.34160588373,0.0016053618206309953
11,-0.09561282844235842,41857.49315841685,0.0016852533460353567
12,-0.21674711555983509,37027.50912997016,0.0016352243604030395
13,-0.1015600413842376,41972.09541767797,0.001651686083018181
14,-0.03337374965083855,44455.59391420384,0.0016105070691472584
15,-0.04614786007813641,43817.2791511156,0.0016490562806471384
16,-0.10739486141052182,41127.83751617103,0.0016318073098123673
17,-0.09019305113560051,42140.18046444461,0.0016316863283074262
18,-0.09751671266823503,41874.60315979509,0.0016411699315150535
19,-0.16524294860365044,39121.00421931592,0.0016126773662108462
20,-0.08674055290068673,42316.87027008305,0.0015445940469882252
21,-0.14266777567072186,39766.199676589546,0.0016753146607827926
22,-0.1906510860362986,37924.070485574404,0.0016878630428566663
23,-0.14816439954368738,39387.136734535925,0.001628350011742441
24,-0.2664970398747346,35464.152874249354,0.0016482037462992594
25,-0.1788368601562568,38695.03726494514,0.0016441885672975332
26,-0.04220335897454006,44101.55492772258,0.0016546238922663698
27,-0.15055122805630755,39951.803411245106,0.0015755937737204867
28,-0.08743920687271743,42215.17290087573,0.0016259878549525248
29,-0.09489319673564998,41967.5098633195,0.0017325166902862424
30,-0.05869795608412934,43304.68819803099,0.0015433220999381905
31,0.08303750849183006,50376.361749648124,0.0017472230060125834
32,-0.03273214302979047,44399.10382916269,0.001744859445482559
33,-0.13893129502503523,40053.238050073276,0.0017198543875045808
34,-0.14962918118953517,39731.426285784626,0.0016570402663741593
35,-0.12978495134244517,40351.77668795422,0.0016860146367564863
36,-0.10797242533192772,41190.50273211936,0.0017099350323925527
37,-0.1041348336670716,41591.96216263508,0.0016737976454481082
38,-0.09941839970247063,41305.44914919065,0.0016221996328178129
39,-0.23607313864407198,36303.94558524246,0.0016237711736591467
40,-0.13703753757632228,40393.488992385755,0.0017020389797315666
41,-0.1941188489454517,37693.53103257023,0.0018532257459550497
42,-0.10047353724520064,41394.991904214476,0.0018391679020299176
43,-0.09884406746194256,41416.18754235308,0.00161222135492218
44,-0.13274145197213616,40273.94177106331,0.0016521966359245458
45,-0.05454461833510827,43528.60558649097,0.00161497795748541
46,-0.12600449439092015,40808.346829304326,0.001623951709396871
47,-0.12021267593498877,40680.47906325928,0.001623558189229308
48,-0.1623129291334982,39395.178585644266,0.0017516280562891293
49,-0.13708206393972452,40368.509675948306,0.0017030242259871947
